,description,size,TNR,prevalence_threshold_UB,FNR,prevalence_LB,R2_LB,fp,jaccard_UB,recall,ConfusionMatrix,tn,AP,accuracy_LB,p,explained_variance,recall_UB,phi_UB,R2,prevalence_threshold_LB,AP_LB,tp,FNR_UB,jaccard_complement,TPR_LB,balanced_informedness_markedness_LB,markedness_UB,sensitivity_LB,LR-,balanced_informedness_markedness_UB,pn,explained_variance_UB,phi_LB,R2_UB,markedness,accuracy,FNR_LB,explained_variance_LB,phi,specificity_LB,F1_complement_LB,n,markedness_LB,NPV_LB,TPR,balanced_accuracy,LR+_LB,balanced_accuracy_LB,specificity_UB,F1,specificity,AUC_LB,jaccard_LB,prevalence,informedness_LB,balanced_informedness_markedness,prevalence_threshold,NPV,pp,prevalence_UB,informedness,jaccard_complement_UB,precision,LR-_UB,jaccard,FPR_UB,LR+_UB,sensitivity,balanced_accuracy_UB,AUC_UB,TPR_UB,F1_complement_UB,LR-_LB,FPR,jaccard_complement_LB,DOR,fn,LR+,AP_UB,DOR_LB,FPR_LB,DOR_UB,F1_complement,accuracy_UB,sensitivity_UB,informedness_UB,AUC,precision_LB,recall_LB,precision_UB,NPV_UB,degree,DisparateImpact,TPR_Disparity_UB,EqualOpportunityDifference_LB,DisparateImpact_LB,AverageOddsDifference_LB,TPR_Disparity,StatisticalParityDifference_UB,AverageOddsDifference_UB,StatisticalParityDifference_LB,AverageOddsDifference,EqualOpportunityDifference_UB,predicted_prevalence,EqualOpportunityDifference,DisparateImpact_UB,StatisticalParityDifference,TPR_Disparity_LB,Hispanic,age_first_child,age_group,bmi,density,ethnicity,hrt,lastmamm,menopause,nrelbc,rstproc,surgmeno,FNR_CI_diff,recall_CI_diff,AP_CI_diff,explained_variance_CI_diff,R2_CI_diff,jaccard_complement_CI_diff,LR-_CI_diff,markedness_CI_diff,accuracy_CI_diff,phi_CI_diff,TPR_CI_diff,balanced_accuracy_CI_diff,specificity_CI_diff,prevalence_CI_diff,balanced_informedness_markedness_CI_diff,prevalence_threshold_CI_diff,NPV_CI_diff,informedness_CI_diff,precision_CI_diff,jaccard_CI_diff,sensitivity_CI_diff,FPR_CI_diff,DOR_CI_diff,LR+_CI_diff,F1_complement_CI_diff,AUC_CI_diff,DisparateImpact_CI_diff,TPR_Disparity_CI_diff,AverageOddsDifference_CI_diff,EqualOpportunityDifference_CI_diff,StatisticalParityDifference_CI_diff
0,Hispanic:no  age_first_child:<30,23910,0.6475804408411452,0.41129138785961256,0.2236842105263158,0.00834290962050721,-41.58216450625952,8346,9.916254594979653e-05,0.7763157894736842,True,15336,0.018255009156751163,0.6435372229192806,228,-23.440289427013187,0.8286838872248107,0.09298849352854478,-36.18352046190977,0.39724859063464074,0.01632336620860294,177,0.28338846094196996,0.646188850967008,0.7166115390580299,0.5410585638781399,-0.9732745983919037,0.7166115390580299,0.34541532822667,0.671482256781649,15387,-20.718261482613645,0.07934415118220499,-32.41663564991147,-0.9759181783001037,0.6488080301129234,0.17131611277518932,-25.00718079466464,0.08601277219206163,0.6414571348631958,0.7804932635454276,23682,-0.9788371254074447,0.9956443373548681,0.7763157894736842,0.7119481151574147,2.049895950988745,0.6948358806901556,0.6536675099717787,0.04045251971203292,0.6475804408411452,0.6846733763884072,8.763395167298483e-05,0.009535759096612296,2.070080615219645,0.6134494015230725,0.4025458613915805,0.9966855137453695,8523,0.010849991434843614,2.2028169813462486,0.6506468421895214,0.020767335445265753,0.39896099836490545,9.301650964218598e-05,0.3585428651368054,2.3366722124729904,0.7763157894736842,0.7372386074213384,0.7392228539264221,0.8286838872248107,0.7895353817802155,0.29002821985761834,0.3524195591588548,0.6399779399420258,6.377299446018522,51,2.2028169813462486,0.021305859359855725,5.063623512329232,0.3463324900282213,8.327683422182025,0.7850725639253628,0.6541122961104141,0.8286838872248107,2.289297603223986,0.7119481151574146,0.017845862876210712,0.7166115390580299,0.02402250947370692,0.9975311817072037,2,2.5520460725148615,0.22786844843929183,-0.07893239789928141,-0.4555528003527072,0.06859257134263304,0.05756578947368418,0.2294947951465378,0.2213674180538625,0.20657782692496332,0.13767105171576244,0.21189673604055553,0.3564617314930991,0.05756578947368418,5.509052735845479,0.21678489127765926,-0.09090147729017144,no,<30,,,,,,,,,,,-0.9507038990044188,-1.0511330376654704,-1.1466237991380164,-1.4974959341070246,-0.8112016958499808,1.130227273532409,-1.1871412047979433,-1.1112258806455486,0.7767010974806176,-1.1035176363456582,-1.0511330376654704,-1.1098722961622691,0.7494810470539348,-1.2160601044209192,-0.4331315068109157,-2.2787133604405905,-0.9307625097264414,-0.3515873803226077,-1.0396195745537364,-2.133421615099785,-1.0511330376654704,-4.927223136031487,-0.909231253168953,-0.684496174025058,0.7505815189917076,-0.8608201368649089,-1.0109874800975878,-1.4585089114572032,-1.5987613123208397,-1.3034232913775552,-2.7644893083911226
1,Hispanic:no  age_first_child:Nulliparous,5145,0.8306388012618297,0.3348475847803528,0.2054794520547945,0.011137592843187582,-14.486714917862674,859,0.0010076913515387185,0.7945205479452054,True,4213,0.0531686599439226,0.8198736637512147,73,-9.221020050991743,0.8801869016645639,0.22514730499881325,-11.144921351713405,0.30261097209443955,0.03288859567954199,58,0.3161615991970514,0.8281895026538235,0.6838384008029488,1.627777206552188,-0.9196759713063616,0.6838384008029488,0.2473752150063892,2.111765839701067,4228,-7.6339487181605525,0.16576784390196006,-9.542818926893132,-0.9332024959015506,0.8301263362487852,0.11981309833543606,-11.517139531050075,0.19319221674745038,0.8200285298299114,0.8969951023139443,5072,-0.9478616925766046,0.9941552224089528,0.7945205479452054,0.8125796746035175,3.9890366758653206,0.7862482598490876,0.8408670693744665,0.11717171717171719,0.8306388012618297,0.765630364731318,0.0008240303129074316,0.014188532555879495,4.271336656925104,1.8790379948769789,0.3158623609951095,0.9964522232734153,917,0.017807306599225196,4.691278485655508,0.8398784747751332,0.06324972737186478,0.3195897452702502,0.0009249366099478527,0.17997147017008883,5.056954271488469,0.7945205479452054,0.8600614143282969,0.8595289844757169,0.8801869016645639,0.91078762748396,0.14436237649903452,0.16936119873817035,0.8190075285923343,18.964221963523475,15,4.691278485655508,0.06281590196523122,10.732997012312046,0.15913293062553338,41.589471053997876,0.9060215053763441,0.8396404275996112,0.8801869016645639,5.251081431647964,0.8125796746035175,0.04837489799349827,0.6838384008029488,0.08100090806316111,0.9980130184009635,2,0.581751451945109,0.2930420437303113,-0.1448490443118381,-1.7681558000715847,-0.1171022445268764,0.045516563881460415,-0.10521956662437304,0.04486879378200594,-0.14630734969547238,-0.04387291473793534,0.2507962976063616,0.1782312925170068,0.045516563881460415,2.8936142463409666,-0.12813887969499788,-0.1034391891712515,no,Nulliparous,,,,,,,,,,,-1.0169644776001199,-0.9600938647734015,-1.4767122143319562,-3.966404362309232,-4.817748877322474,-7.087089103598708,-0.9527349854235149,-1.946986279540147,-7.407794828529211,-2.258676743975028,-0.9600938647734015,-2.1137737271254697,-7.168449824964285,-1.3531048827250711,-2.925998489078631,-1.295862374142491,-0.7881764226541241,-2.886901818556954,-1.8266618793733098,-5.080686490530545,-0.9600938647734015,-1.8753224195282305,-1.1665460264083107,-2.507991646642577,-6.834146406377148,-1.635179922982986,-1.0581908297570146,-1.337017565226359,-1.2774594428458421,-1.0564335890515015,-1.5565606590327303
2,Hispanic:no  age_first_child:>=30,3084,0.8530465949820788,0.4494665511969516,0.6,0.002724717583664044,-60.957944573511746,451,0.0012954432012257224,0.4,True,2618,0.00816992907559877,0.8404345006485084,15,-25.57273813402846,0.6771302337934105,0.09120944626485734,-29.816552623004235,0.3311704811846935,0.002976698166728925,6,0.8366356761404866,0.8505523066926576,0.16336432385951336,0.2222107038734622,-0.9765308212015992,0.16336432385951336,0.7033613445378152,1.5942627474447228,2627,-18.059479113225436,0.014967572093521519,-20.3363026810463,-0.9834449359829209,0.8508430609597925,0.3228697662065893,-37.408714216005215,0.04955145770589042,0.8400212523683468,0.9131494804082055,3069,-0.9925865152568354,0.9935064637160015,0.4,0.6265232974910394,1.5500951001261436,0.509049849879351,0.8653949446871401,0.02542372881355932,0.8530465949820788,0.4980607141086011,0.0004055812837541139,0.0048638132295719845,1.1468138041733547,0.8692531417646372,0.3773821738605963,0.9965740388275599,457,0.008009451067953562,2.7219512195121953,0.8614331334479308,0.01312910284463895,0.8610655783173496,0.0008869179600886918,0.15997874763165326,4.0592163373966645,0.4,0.71839599609375,0.7549858808734777,0.6771302337934105,0.9232835104068802,0.4605435606169181,0.14695340501792115,0.8386791197260355,3.869918699186992,9,2.7219512195121953,0.015351806566088266,0.9698564050957938,0.1346050553128599,10.35148921903562,0.9192415730337078,0.8623135538261998,0.6771302337934105,4.5150275964509605,0.6265232974910394,0.0048329801694692075,0.16336432385951336,0.028356290831621556,0.9984322725222398,2,0.49229426134067494,0.03480256742851598,-0.778442070093228,-2.0989276995783506,-0.5493020713053567,-0.37669902912621356,-0.13128940069295214,-0.03962957110067339,-0.1785108439670632,-0.26305488868806604,-0.024121267352754133,0.14818417639429313,-0.37669902912621356,3.0124761804090214,-0.15282314388350202,-0.7417006036214828,no,>=30,,,,,,,,,,,-1.2556852996552021,-0.8989088561081507,-0.774587465469389,-0.7511447874359087,-0.7230636656975524,-7.447869022933454,-1.4156244484232912,-0.8670235980193526,-7.728911112658194,-0.9492200172357459,-0.8989088561081507,-0.8793133776990313,-6.8538665275193225,-0.8995504066375436,-0.8841787228385077,-1.2422520128728063,-1.0036880622925168,-0.9138714190565096,-0.8850289897316583,-1.3719836567078894,-0.8989088561081507,-1.3043011842946441,-0.8958654811934583,-0.9099438723692079,-10.534409239208038,-0.8574459655496938,-1.0263594753189174,-0.947555525590861,-0.7533404113206222,-0.7845064425644713,-1.1315892430004741
3,Hispanic:yes  age_first_child:<30,2019,0.9156746031746031,,0.6666666666666666,0.00030652990836624376,-170.18478691774035,170,,0.3333333333333333,True,1846,0.0029399071394848354,0.8971025260029718,3,-51.751984126984134,0.9057006759492866,0.08953643728867239,-56.418650793650805,,0.00035908865775136236,1,0.9915962413403874,0.9147670961347869,0.008403758659612647,,-0.9812685379090246,0.008403758659612647,0.7280606717226435,,1848,0.0,-0.0133317359040718,-20.513368659870704,-0.9930697957013745,0.9148093115403665,0.09429932405071303,-168.98889990089202,0.03444847825999697,0.90268339732636,0.9491173815066858,2016,-0.9996122994652407,0.9960960595150365,0.3333333333333333,0.6245039682539683,,,0.9274411464201471,0.011494252873563218,0.9156746031746031,0.29778697978309554,,0.0014858841010401188,,1.4799356903846066,0.3346495673076529,0.9989177489177489,171,0.004336185744310195,3.952941176470588,0.9300305791708208,0.005847953216374269,1.0972845740616348,0.00196078431372549,0.09731660267363997,,0.3333333333333333,,0.951220956724841,0.9057006759492866,0.9608823213141752,0.0,0.08432539682539683,0.8984294529191323,5.429411764705882,2,3.952941176470588,0.014971115179603287,,0.07255885357985295,,0.9554865424430642,0.9237246161466073,0.9057006759492866,,0.6245039682539681,0.00014804639700607668,0.008403758659612647,0.03215048339218784,0.9998689074901915,2,0.28235502132246687,,,-3.6175921011219367,,-0.42990654205607476,-0.19340369263322726,,-0.2393777354265731,-0.32049769581925214,,0.08469539375928678,-0.42990654205607476,4.096119334452502,-0.21526524927301618,,yes,<30,,,,,,,,,,,-1.0101035785796566,-0.736475793964473,-0.20112410276990797,-0.27000261939369924,-0.16733213737682276,-8.459364724959624,-1.0,-0.5874492412095604,-9.81886274414837,-0.551908870172079,-0.736475793964473,,-10.688459226427552,-0.7814528574857669,,,-1.0308810862278395,,-0.7240485000434079,,-0.736475793964473,-1.808544229347146,,,-13.98732976004122,-0.5334553146154655,-1.1814987571377844,,,,-1.5854985349787978
4,Hispanic:yes  age_first_child:Nulliparous,696,0.9913544668587896,,0.0,0.0003481914825655877,-6.292790827856447,6,,1.0,True,688,0.25,0.985632183908046,2,-1.9827089337175794,1.0,0.757716279660462,-2.0086455331412107,,-0.0,2,0.841886116991607,0.9913544668587896,0.15811388300839305,,-0.45416666666666694,0.15811388300839305,0.0,,688,0.2536830680173659,0.25503208995433285,0.06755780346820768,-0.75,0.9913793103448276,0.0,-6.919424460431652,0.4978339248330686,0.9812778855154898,0.9918220487490672,694,-1.0,0.9946526050977347,1.0,0.9956772334293948,,,0.9968208226993296,0.4,0.9913544668587896,0.9922308638204427,,0.0028735632183908046,,57.45833333333333,0.0850713128191958,1.0,8,0.010341410265441626,115.66666666666666,0.9964748201438849,0.25,,0.16666666666666666,0.01872211448451029,,1.0,,0.999123603038347,1.0,0.998756775455425,,0.008645533141210375,0.9841726618705036,,0,115.66666666666666,0.6797619047619047,,0.0031791773006704413,,0.9956584659913169,0.9946479885057471,1.0,,0.9956772334293947,0.03185402624994424,0.15811388300839305,0.6508557944128243,1.0,2,0.039208972616263604,,,-25.949037535204717,,0.2422360248447205,-0.27044734613203114,,-0.295232086271608,-0.01893804094121415,,0.011494252873563218,0.2422360248447205,25.285011244489304,-0.28165938280204955,,yes,Nulliparous,,,,,,,,,,,-0.8987589741446671,-0.8969583514833376,-0.9822992662997787,-6.396269470065835,-7.173469164872852,-12.754139214004026,,-0.9854251603960051,-17.309934376515542,-1.4421653086783437,-0.8969583514833376,,-10.057214273500854,-0.9160422470185783,,,-0.9401971493107892,,-1.0369544329893292,,-0.8969583514833376,2.175843827580967,,,-12.25452143712879,-57.52146737736946,-0.5914549621949377,,,,0.16751743127101398
5,Hispanic:yes  age_first_child:>=30,196,0.9948186528497409,,0.3333333333333333,0.0031676819430450005,-0.810923342633186,1,,0.6666666666666666,True,192,0.44954648526077096,0.9795918367346939,3,0.3229706390328152,0.9915962413403874,0.8920949127381758,0.3229706390328152,,0.00510204081632653,2,0.9057006759492866,0.9896907216494846,0.09429932405071303,,,0.09429932405071303,0.3350694444444444,,193,1.0,0.0,1.0,-0.3281519861830743,0.9897959183673469,0.008403758659612647,-0.4131763556954125,0.6614853195164075,0.9714709809226464,0.986115984472779,193,,0.9714709809226464,0.6666666666666666,0.8307426597582037,,,0.9998688282513288,0.6666666666666666,0.9948186528497409,0.5040425346301419,0.0,0.015306122448979591,,64.16925734024178,0.08101670771370002,0.9948186528497409,3,0.044077087588121636,128.66666666666666,1.0,0.6666666666666666,,0.6666666666666666,0.02852901907735356,,0.6666666666666666,,1.0,0.9915962413403874,1.0,,0.0051813471502590676,0.9729999474016411,384.0,1,128.66666666666666,1.0,,0.00013117174867074117,,0.9948186528497409,1.0,0.9915962413403874,,0.8307426597582037,0.09429932405071303,0.09429932405071303,0.9915962413403874,0.9998688282513288,2,0.052945572830164225,,-0.9288167958257062,-19.25268912245111,,-0.09345794392523366,-0.24135582528655578,,-0.29530194537155,-0.18649488484102447,0.5763842197095337,0.015306122448979591,-0.09345794392523366,18.791764787708903,-0.2737855169611311,,yes,>=30,,,,,,,,,,,-0.9143765525127981,-0.8651481120628973,-0.9993324321417464,-32.99478188534757,-28.001370781787376,-5.602767431744795,,,-7.444115853658525,-0.9788821426051719,-0.8651481120628973,,-5.309122004453283,-1.0484114162791742,,,-0.22468362306467177,,-1.0966924586697882,,-0.8651481120628973,0.8455605477123719,,,-5.992175538901394,-0.938212647873427,-0.6258306659764846,,,-0.9743122124193477,-0.4623065533402672
6,Hispanic:no  age_group:45-49,2295,0.8686291739894552,0.30251266802876825,0.15789473684210525,0.004991565607553269,-32.27841923274353,299,0.0033110731699441376,0.8421052631578947,True,1977,0.04408079021082117,0.8586601307189543,19,-13.001341226528533,0.9661737509982353,0.23408351342737305,-15.027425770049025,0.2676781655229499,0.028238001706247653,16,0.3957845512666835,0.8674857393593681,0.6042154487333166,2.1137378987779716,-0.9265051581628294,0.6042154487333166,0.18177461864068364,3.312384662843514,1980,-9.605594636742724,0.12344655902909567,-10.065360175013167,-0.9476911976911977,0.8684095860566449,0.033826249001764654,-23.050005373059932,0.18714680453635932,0.8540561569510129,0.9216775379671545,2276,-0.9722350805236792,0.9955785289467103,0.8421052631578947,0.8553672185736749,5.463831018518519,0.7555366109593857,0.8822457350273761,0.09580838323353293,0.8686291739894552,0.7708552191138368,0.0020939112487100104,0.008278867102396514,5.361060546102098,2.731223931166723,0.28313971707452423,0.9984848484848485,315,0.012898408459273933,6.410139060024643,0.8765666792016655,0.050793650793650794,0.3521653403093898,0.0028164055624009857,0.14594384304898708,7.725980392156862,0.8421052631578947,0.918784698378939,0.939879218033513,0.9661737509982353,0.9345220382899408,0.03668923734853888,0.1313708260105448,0.8506836449531928,35.264214046822744,3,6.410139060024643,0.06533449645113937,19.77425707375177,0.11775426497262365,,0.9290413533834587,0.8786710239651416,0.9661737509982353,7.698880449151692,0.8553672185736749,0.029308158051905925,0.6042154487333166,0.08117676134947965,0.999687430273244,2,0.46044493176213547,0.4072494037507199,-0.10334922789025151,-2.239499313801033,-0.1555525718133331,0.08800690250215704,-0.13868910911769078,0.11635256612753693,-0.18856022115780988,-0.03721406332454276,0.2926444502591278,0.13725490196078433,0.08800690250215704,3.100645274828706,-0.16083699240648786,-0.16486397471804454,no,,45-49,,,,,,,,,,-1.0,-1.0,-1.2592190594091484,-1.2894428362754582,-1.0487483084354992,-7.132180019092416,-1.1162979921591456,-1.0506911723246855,-9.267888499368988,-1.293014771202156,-1.0,-1.3154677282873124,-6.7669934713757645,-1.0656544496112492,-2.183102571095927,-1.427375767273298,-0.9521894637912571,-2.256900107014315,-1.1523838768840995,-2.6590595053570105,-1.0,-1.3735593376059985,,-2.3638379463834527,-9.186386715424465,-1.3837761078579214,-1.0450752726084265,-1.168001643127553,-1.164363033318061,-1.4701242841145483,-1.0997915426659082
7,Hispanic:no  age_group:60-64,4929,0.5891791812384283,0.4223492501972907,0.1323529411764706,0.010728554365070472,-35.11809528940687,1997,0.0004698912139037961,0.8676470588235294,True,2864,0.02672436031565836,0.5824508013795902,68,-16.95633311954693,0.937651685936562,0.12400350347621114,-28.91267228965233,0.3967683423619442,0.02085023879651928,59,0.23643555430952226,0.5880903490759753,0.7635644456904779,0.5001009971293685,-0.9611231103126673,0.7635644456904779,0.22463954157081828,0.7203675155355509,2873,-14.955991199617255,0.08770439719020408,-23.47493743645715,-0.9681708879531827,0.5930208967336174,0.06234831406343806,-21.766360445311157,0.10806596613866766,0.5751957462488925,0.7306764648673376,4861,-0.9731097148137321,0.9940616881807766,0.8676470588235294,0.7284131200309789,1.9374581537478877,0.6910047014133882,0.6030554069281209,0.05555555555555555,0.5891791812384283,0.6872565748618328,0.0004044723109212903,0.013795901805640089,1.897190066010794,0.5719066323732276,0.40761976380131576,0.9968673860076575,2056,0.01745722419599247,2.111984152699638,0.6010696934214833,0.028696498054474707,0.3331435673998607,0.0004344752422751775,0.4248042537511075,2.297566538304951,0.8676470588235294,0.7452127345426809,0.7695696652001248,0.937651685936562,0.7482930542362035,0.07301092089728453,0.41082081876157167,0.5741344183640965,9.401658042619486,9,2.111984152699638,0.030890523001241607,5.476337762555661,0.3969445930718792,17.893127209882067,0.7406258081199897,0.6040525461554067,0.937651685936562,2.3511941797419995,0.7284131200309789,0.02191529879680656,0.7635644456904779,0.036861760336189216,0.9985665997718325,2,1.5660184921282942,0.30668089644945573,-0.06612236604503113,-0.6970665616742497,0.055397476213509066,0.13717830882352944,0.16912567071241913,0.2266012915988787,0.12773001185151658,0.1428092071878293,0.27354077866381,0.41712314871170625,0.13717830882352944,3.7972106771773912,0.1507641300868266,-0.02782082408010616,no,,60-64,,,,,,,,,,-0.9459993402426443,-1.2972073726403914,-1.2219414829284212,-1.5144524085148032,-1.4144790479080336,-0.16746511242734835,-0.7978648035827512,-1.1204235181537225,0.14856431795193248,-1.0282257154057248,-1.2972073726403914,-1.0462873624373554,-0.13768694299835527,-1.2892206133484312,-1.04876203614366,-1.6831838912567756,-0.9255803453171548,-0.7152718742486318,-1.049097005155802,-6.042963152127179,-1.2972073726403914,-4.537909948171073,-0.9990296066907052,-0.7136419530579435,0.15781678031656404,-0.9494747470181847,-1.0094957304885461,-1.6255259450693416,-1.4572361451238807,-1.29751348203934,-1.6377999873758278
8,Hispanic:no  age_group:50-54,6144,0.7509427775045089,0.38247555226841057,0.2222222222222222,0.005347206808282451,-44.42078376390234,1519,0.0005815329600352885,0.7777777777777778,True,4580,0.019145121684184186,0.7439453125,45,-24.931737443296715,0.8879540611228673,0.12072822340393671,-33.228474613324586,0.34890031882871153,0.012292048515360813,35,0.3708875525994878,0.7497135374038304,0.6291124474005121,0.7563994759002721,-0.9670300876464922,0.6291124474005121,0.29592430858806407,1.3177379758916665,4590,-18.351067505926082,0.08397449604646524,-24.633870451095355,-0.9752988282400047,0.7511393229166666,0.1120459388771327,-36.157248684621564,0.1037122171196045,0.7398888052954897,0.8519490788114031,6099,-0.9806011455079606,0.9959970480620505,0.7777777777777778,0.7643602776411433,2.6903370146977736,0.7117410496951604,0.761756256758901,0.043777360850531584,0.7509427775045089,0.7027004762670146,0.00043854233328355797,0.00732421875,2.588241641072206,1.0737945182916722,0.3613801099240317,0.9978213507625272,1554,0.009788235995079235,3.122887864823349,0.758959529076728,0.02252252252252252,0.45247229467084155,0.0005120327700972862,0.2601111947045101,3.5997331661984604,0.7777777777777778,0.8244635860049587,0.8260200790152721,0.8879540611228673,0.8616326246732686,0.2036837030529698,0.24905722249549106,0.7377729691905061,10.55299539170507,10,3.122887864823349,0.027191244738359082,7.286904787714545,0.23824374324109893,31.185717152639555,0.856955748900739,0.7594889322916666,0.8879540611228673,3.5836286828595507,0.7643602776411434,0.015736714464569895,0.6291124474005121,0.03118520148085906,0.9989547740754132,2,0.8576170729472141,0.2672983786766414,-0.246909281646056,-1.2146820921049182,-0.14700702661469756,0.021505376344086002,-0.023675601872495323,0.09498442131629217,-0.058709283624462705,-0.009931262147962194,0.18659915276594868,0.2529296875,0.021505376344086002,2.8925724362530487,-0.04199178209108834,-0.24042271138391746,no,,50-54,,,,,,,,,,-0.9679949918812415,-1.0086257178058213,-0.8941272596339823,-0.8303823466888625,-1.014648492049377,-3.1621608196558886,-1.1229281541553577,-1.0884059281582252,-4.263912563050324,-1.3564511227527452,-1.0086257178058213,-1.0683442927516884,-3.213415731261004,-1.0269461003068296,-1.1082834074715855,-1.4213206806102319,-1.0750814438817187,-1.16635456796384,-0.9533760424155411,-3.5454475431287116,-1.0086257178058213,-1.8109907818310849,-1.070837449583942,-1.3427671777809926,-4.657914999139442,-0.973342677615025,-1.0288393584045927,-1.1014993680406826,-0.9198820074009492,-0.8439299757643993,-1.7859997554932638
9,Hispanic:no  age_group:70-74,3461,0.7440302853814793,0.43069074309396943,0.3333333333333333,0.005147161439752773,-57.50882757068314,879,0.0009481639157145829,0.6666666666666666,True,2555,0.015978330928772495,0.7297890783010691,27,-23.98401604866368,0.834811820312585,0.10611215204178705,-32.147479453827735,0.3588712573546446,0.00937629800287944,18,0.5396072860924305,0.742085390647691,0.4603927139075695,0.30579960632774944,-0.9648465677987071,0.4603927139075695,0.44801043705153293,1.1081033268352276,2564,-16.762411701749674,0.04305053793017138,-24.351923265188148,-0.9764229699622767,0.7434267552730425,0.16518817968741492,-34.790538101683126,0.08246093889318305,0.7290846640083332,0.8450576107532799,3434,-0.9866277100651244,0.9933471629636295,0.6666666666666666,0.7053484760240729,1.92995169844482,0.6311093999811906,0.7585593093046444,0.03896103896103896,0.7440302853814793,0.6144555578894466,0.0005599092406154119,0.007801213522103438,1.6142408130134978,0.8140259059934538,0.3825791037856282,0.9964898595943837,897,0.01133020067595173,2.6044747819491842,0.7490383906478816,0.020066889632107024,0.6292236733325167,0.0007584376185058779,0.2709153359916668,3.2467464126377035,0.6666666666666666,0.7776805320047757,0.7962413941586992,0.834811820312585,0.8594383116839421,0.242842240121705,0.2559697146185207,0.7306167806431034,5.813424345847554,9,2.6044747819491842,0.022248843775793323,3.405193367164333,0.24144069069535554,16.48228628463271,0.8519506502167389,0.7548035249927766,0.834811820312585,3.141452912895927,0.705348476024073,0.011935209484000625,0.4603927139075695,0.03152948673749683,0.9983937226758278,2,0.8916397740865937,0.12374009135844309,-0.44927984938283566,-1.1767475695591658,-0.2109531825185626,-0.101010101010101,0.0015380283935983764,0.12021689505095523,-0.05785387073454646,-0.06559190481537344,0.21952346804913395,0.25917364923432534,-0.101010101010101,2.9449928418217874,-0.031497153893345675,-0.4406473261550429,no,,70-74,,,,,,,,,,-0.9433296005731131,-1.0527280815096731,-0.8895962456604848,-1.0638883996310877,-0.8241473398373993,-3.0982184039209404,-0.9440626182481736,-0.9416003557792884,-2.4622262952749234,-0.7454200592178785,-1.0527280815096731,-1.095140380681766,-2.2755919335609365,-1.0649759833755916,-0.7163883951422761,-1.0967832713824135,-0.8870990330685086,-0.643847514620453,-1.006072225260383,-2.2500610501689677,-1.0527280815096731,-1.9046089729017464,-1.0123353118489382,-0.9099005532864133,-2.9839171770840354,-0.9866237068495927,-1.0366404035417802,-0.8442764357231115,-1.1780648638598779,-1.178103207452007,-1.5583514211986582
