,description,size,TNR,prevalence_threshold_UB,FNR,prevalence_LB,R2_LB,DisparateImpact,fp,jaccard_UB,recall,ConfusionMatrix,tn,AP,accuracy_LB,p,explained_variance,recall_UB,TPR_Disparity_UB,phi_UB,R2,prevalence_threshold_LB,AP_LB,tp,FNR_UB,EqualOpportunityDifference_LB,jaccard_complement,TPR_LB,balanced_informedness_markedness_LB,markedness_UB,sensitivity_LB,LR-,balanced_informedness_markedness_UB,pn,DisparateImpact_LB,explained_variance_UB,phi_LB,R2_UB,markedness,accuracy,FNR_LB,explained_variance_LB,phi,specificity_LB,F1_complement_LB,n,markedness_LB,NPV_LB,TPR,AverageOddsDifference_LB,balanced_accuracy,LR+_LB,balanced_accuracy_LB,specificity_UB,F1,specificity,AUC_LB,jaccard_LB,TPR_Disparity,prevalence,informedness_LB,balanced_informedness_markedness,StatisticalParityDifference_UB,prevalence_threshold,NPV,pp,prevalence_UB,informedness,jaccard_complement_UB,AverageOddsDifference_UB,precision,LR-_UB,jaccard,FPR_UB,LR+_UB,sensitivity,StatisticalParityDifference_LB,balanced_accuracy_UB,AUC_UB,TPR_UB,F1_complement_UB,LR-_LB,AverageOddsDifference,FPR,jaccard_complement_LB,EqualOpportunityDifference_UB,DOR,fn,LR+,AP_UB,predicted_prevalence,DOR_LB,EqualOpportunityDifference,FPR_LB,DOR_UB,F1_complement,accuracy_UB,sensitivity_UB,DisparateImpact_UB,informedness_UB,AUC,precision_LB,StatisticalParityDifference,recall_LB,precision_UB,TPR_Disparity_LB,NPV_UB,Hispanic,age_first_child,age_group,bmi,density,ethnicity,hrt,lastmamm,menopause,nrelbc,rstproc,surgmeno
0,Hispanic:no  age_first_child:<30,23910,0.6475804408411452,0.41129138785961256,0.2236842105263158,0.00834290962050721,-41.58216450625952,2.5520460725148615,8346,9.916254594979653e-05,0.7763157894736842,True,15336,0.018255009156751163,0.6435372229192806,228,-23.440289427013187,0.8286838872248107,0.22786844843929183,0.09298849352854478,-36.18352046190977,0.39724859063464074,0.01632336620860294,177,0.28338846094196996,-0.07893239789928141,0.646188850967008,0.7166115390580299,0.5410585638781399,-0.9732745983919037,0.7166115390580299,0.34541532822667,0.671482256781649,15387,-0.4555528003527072,-20.718261482613645,0.07934415118220499,-32.41663564991147,-0.9759181783001037,0.6488080301129234,0.17131611277518932,-25.00718079466464,0.08601277219206163,0.6414571348631958,0.7804932635454276,23682,-0.9788371254074447,0.9956443373548681,0.7763157894736842,0.06859257134263304,0.7119481151574147,2.049895950988745,0.6948358806901556,0.6536675099717787,0.04045251971203292,0.6475804408411452,0.6846733763884072,8.763395167298483e-05,0.05756578947368418,0.009535759096612296,2.070080615219645,0.6134494015230725,0.2294947951465378,0.4025458613915805,0.9966855137453695,8523,0.010849991434843614,2.2028169813462486,0.6506468421895214,0.2213674180538625,0.020767335445265753,0.39896099836490545,9.301650964218598e-05,0.3585428651368054,2.3366722124729904,0.7763157894736842,0.20657782692496332,0.7372386074213384,0.7392228539264221,0.8286838872248107,0.7895353817802155,0.29002821985761834,0.13767105171576244,0.3524195591588548,0.6399779399420258,0.21189673604055553,6.377299446018522,51,2.2028169813462486,0.021305859359855725,0.3564617314930991,5.063623512329232,0.05756578947368418,0.3463324900282213,8.327683422182025,0.7850725639253628,0.6541122961104141,0.8286838872248107,5.509052735845479,2.289297603223986,0.7119481151574146,0.017845862876210712,0.21678489127765926,0.7166115390580299,0.02402250947370692,-0.09090147729017144,0.9975311817072037,no,<30,,,,,,,,,,
1,Hispanic:no  age_first_child:Nulliparous,5145,0.8306388012618297,0.3348475847803528,0.2054794520547945,0.011137592843187582,-14.486714917862674,0.581751451945109,859,0.0010076913515387185,0.7945205479452054,True,4213,0.0531686599439226,0.8198736637512147,73,-9.221020050991743,0.8801869016645639,0.2930420437303113,0.22514730499881325,-11.144921351713405,0.30261097209443955,0.03288859567954199,58,0.3161615991970514,-0.1448490443118381,0.8281895026538235,0.6838384008029488,1.627777206552188,-0.9196759713063616,0.6838384008029488,0.2473752150063892,2.111765839701067,4228,-1.7681558000715847,-7.6339487181605525,0.16576784390196006,-9.542818926893132,-0.9332024959015506,0.8301263362487852,0.11981309833543606,-11.517139531050075,0.19319221674745038,0.8200285298299114,0.8969951023139443,5072,-0.9478616925766046,0.9941552224089528,0.7945205479452054,-0.1171022445268764,0.8125796746035175,3.9890366758653206,0.7862482598490876,0.8408670693744665,0.11717171717171719,0.8306388012618297,0.765630364731318,0.0008240303129074316,0.045516563881460415,0.014188532555879495,4.271336656925104,1.8790379948769789,-0.10521956662437304,0.3158623609951095,0.9964522232734153,917,0.017807306599225196,4.691278485655508,0.8398784747751332,0.04486879378200594,0.06324972737186478,0.3195897452702502,0.0009249366099478527,0.17997147017008883,5.056954271488469,0.7945205479452054,-0.14630734969547238,0.8600614143282969,0.8595289844757169,0.8801869016645639,0.91078762748396,0.14436237649903452,-0.04387291473793534,0.16936119873817035,0.8190075285923343,0.2507962976063616,18.964221963523475,15,4.691278485655508,0.06281590196523122,0.1782312925170068,10.732997012312046,0.045516563881460415,0.15913293062553338,41.589471053997876,0.9060215053763441,0.8396404275996112,0.8801869016645639,2.8936142463409666,5.251081431647964,0.8125796746035175,0.04837489799349827,-0.12813887969499788,0.6838384008029488,0.08100090806316111,-0.1034391891712515,0.9980130184009635,no,Nulliparous,,,,,,,,,,
2,Hispanic:no  age_first_child:>=30,3084,0.8530465949820788,0.4494665511969516,0.6,0.002724717583664044,-60.957944573511746,0.49229426134067494,451,0.0012954432012257224,0.4,True,2618,0.00816992907559877,0.8404345006485084,15,-25.57273813402846,0.6771302337934105,0.03480256742851598,0.09120944626485734,-29.816552623004235,0.3311704811846935,0.002976698166728925,6,0.8366356761404866,-0.778442070093228,0.8505523066926576,0.16336432385951336,0.2222107038734622,-0.9765308212015992,0.16336432385951336,0.7033613445378152,1.5942627474447228,2627,-2.0989276995783506,-18.059479113225436,0.014967572093521519,-20.3363026810463,-0.9834449359829209,0.8508430609597925,0.3228697662065893,-37.408714216005215,0.04955145770589042,0.8400212523683468,0.9131494804082055,3069,-0.9925865152568354,0.9935064637160015,0.4,-0.5493020713053567,0.6265232974910394,1.5500951001261436,0.509049849879351,0.8653949446871401,0.02542372881355932,0.8530465949820788,0.4980607141086011,0.0004055812837541139,-0.37669902912621356,0.0048638132295719845,1.1468138041733547,0.8692531417646372,-0.13128940069295214,0.3773821738605963,0.9965740388275599,457,0.008009451067953562,2.7219512195121953,0.8614331334479308,-0.03962957110067339,0.01312910284463895,0.8610655783173496,0.0008869179600886918,0.15997874763165326,4.0592163373966645,0.4,-0.1785108439670632,0.71839599609375,0.7549858808734777,0.6771302337934105,0.9232835104068802,0.4605435606169181,-0.26305488868806604,0.14695340501792115,0.8386791197260355,-0.024121267352754133,3.869918699186992,9,2.7219512195121953,0.015351806566088266,0.14818417639429313,0.9698564050957938,-0.37669902912621356,0.1346050553128599,10.35148921903562,0.9192415730337078,0.8623135538261998,0.6771302337934105,3.0124761804090214,4.5150275964509605,0.6265232974910394,0.0048329801694692075,-0.15282314388350202,0.16336432385951336,0.028356290831621556,-0.7417006036214828,0.9984322725222398,no,>=30,,,,,,,,,,
3,Hispanic:yes  age_first_child:<30,2019,0.9156746031746031,,0.6666666666666666,0.00030652990836624376,-170.18478691774035,0.28235502132246687,170,,0.3333333333333333,True,1846,0.0029399071394848354,0.8971025260029718,3,-51.751984126984134,0.9057006759492866,,0.08953643728867239,-56.418650793650805,,0.00035908865775136236,1,0.9915962413403874,,0.9147670961347869,0.008403758659612647,,-0.9812685379090246,0.008403758659612647,0.7280606717226435,,1848,-3.6175921011219367,0.0,-0.0133317359040718,-20.513368659870704,-0.9930697957013745,0.9148093115403665,0.09429932405071303,-168.98889990089202,0.03444847825999697,0.90268339732636,0.9491173815066858,2016,-0.9996122994652407,0.9960960595150365,0.3333333333333333,,0.6245039682539683,,,0.9274411464201471,0.011494252873563218,0.9156746031746031,0.29778697978309554,,-0.42990654205607476,0.0014858841010401188,,1.4799356903846066,-0.19340369263322726,0.3346495673076529,0.9989177489177489,171,0.004336185744310195,3.952941176470588,0.9300305791708208,,0.005847953216374269,1.0972845740616348,0.00196078431372549,0.09731660267363997,,0.3333333333333333,-0.2393777354265731,,0.951220956724841,0.9057006759492866,0.9608823213141752,0.0,-0.32049769581925214,0.08432539682539683,0.8984294529191323,,5.429411764705882,2,3.952941176470588,0.014971115179603287,0.08469539375928678,,-0.42990654205607476,0.07255885357985295,,0.9554865424430642,0.9237246161466073,0.9057006759492866,4.096119334452502,,0.6245039682539681,0.00014804639700607668,-0.21526524927301618,0.008403758659612647,0.03215048339218784,,0.9998689074901915,yes,<30,,,,,,,,,,
4,Hispanic:yes  age_first_child:Nulliparous,696,0.9913544668587896,,0.0,0.0003481914825655877,-6.292790827856447,0.039208972616263604,6,,1.0,True,688,0.25,0.985632183908046,2,-1.9827089337175794,1.0,,0.757716279660462,-2.0086455331412107,,-0.0,2,0.841886116991607,,0.9913544668587896,0.15811388300839305,,-0.45416666666666694,0.15811388300839305,0.0,,688,-25.949037535204717,0.2536830680173659,0.25503208995433285,0.06755780346820768,-0.75,0.9913793103448276,0.0,-6.919424460431652,0.4978339248330686,0.9812778855154898,0.9918220487490672,694,-1.0,0.9946526050977347,1.0,,0.9956772334293948,,,0.9968208226993296,0.4,0.9913544668587896,0.9922308638204427,,0.2422360248447205,0.0028735632183908046,,57.45833333333333,-0.27044734613203114,0.0850713128191958,1.0,8,0.010341410265441626,115.66666666666666,0.9964748201438849,,0.25,,0.16666666666666666,0.01872211448451029,,1.0,-0.295232086271608,,0.999123603038347,1.0,0.998756775455425,,-0.01893804094121415,0.008645533141210375,0.9841726618705036,,,0,115.66666666666666,0.6797619047619047,0.011494252873563218,,0.2422360248447205,0.0031791773006704413,,0.9956584659913169,0.9946479885057471,1.0,25.285011244489304,,0.9956772334293947,0.03185402624994424,-0.28165938280204955,0.15811388300839305,0.6508557944128243,,1.0,yes,Nulliparous,,,,,,,,,,
5,Hispanic:yes  age_first_child:>=30,196,0.9948186528497409,,0.3333333333333333,0.0031676819430450005,-0.810923342633186,0.052945572830164225,1,,0.6666666666666666,True,192,0.44954648526077096,0.9795918367346939,3,0.3229706390328152,0.9915962413403874,,0.8920949127381758,0.3229706390328152,,0.00510204081632653,2,0.9057006759492866,-0.9288167958257062,0.9896907216494846,0.09429932405071303,,,0.09429932405071303,0.3350694444444444,,193,-19.25268912245111,1.0,0.0,1.0,-0.3281519861830743,0.9897959183673469,0.008403758659612647,-0.4131763556954125,0.6614853195164075,0.9714709809226464,0.986115984472779,193,,0.9714709809226464,0.6666666666666666,,0.8307426597582037,,,0.9998688282513288,0.6666666666666666,0.9948186528497409,0.5040425346301419,0.0,-0.09345794392523366,0.015306122448979591,,64.16925734024178,-0.24135582528655578,0.08101670771370002,0.9948186528497409,3,0.044077087588121636,128.66666666666666,1.0,,0.6666666666666666,,0.6666666666666666,0.02852901907735356,,0.6666666666666666,-0.29530194537155,,1.0,0.9915962413403874,1.0,,-0.18649488484102447,0.0051813471502590676,0.9729999474016411,0.5763842197095337,384.0,1,128.66666666666666,1.0,0.015306122448979591,,-0.09345794392523366,0.00013117174867074117,,0.9948186528497409,1.0,0.9915962413403874,18.791764787708903,,0.8307426597582037,0.09429932405071303,-0.2737855169611311,0.09429932405071303,0.9915962413403874,,0.9998688282513288,yes,>=30,,,,,,,,,,
6,Hispanic:no  age_group:45-49,2295,0.8686291739894552,0.30251266802876825,0.15789473684210525,0.004991565607553269,-32.27841923274353,0.46044493176213547,299,0.0033110731699441376,0.8421052631578947,True,1977,0.04408079021082117,0.8586601307189543,19,-13.001341226528533,0.9661737509982353,0.4072494037507199,0.23408351342737305,-15.027425770049025,0.2676781655229499,0.028238001706247653,16,0.3957845512666835,-0.10334922789025151,0.8674857393593681,0.6042154487333166,2.1137378987779716,-0.9265051581628294,0.6042154487333166,0.18177461864068364,3.312384662843514,1980,-2.239499313801033,-9.605594636742724,0.12344655902909567,-10.065360175013167,-0.9476911976911977,0.8684095860566449,0.033826249001764654,-23.050005373059932,0.18714680453635932,0.8540561569510129,0.9216775379671545,2276,-0.9722350805236792,0.9955785289467103,0.8421052631578947,-0.1555525718133331,0.8553672185736749,5.463831018518519,0.7555366109593857,0.8822457350273761,0.09580838323353293,0.8686291739894552,0.7708552191138368,0.0020939112487100104,0.08800690250215704,0.008278867102396514,5.361060546102098,2.731223931166723,-0.13868910911769078,0.28313971707452423,0.9984848484848485,315,0.012898408459273933,6.410139060024643,0.8765666792016655,0.11635256612753693,0.050793650793650794,0.3521653403093898,0.0028164055624009857,0.14594384304898708,7.725980392156862,0.8421052631578947,-0.18856022115780988,0.918784698378939,0.939879218033513,0.9661737509982353,0.9345220382899408,0.03668923734853888,-0.03721406332454276,0.1313708260105448,0.8506836449531928,0.2926444502591278,35.264214046822744,3,6.410139060024643,0.06533449645113937,0.13725490196078433,19.77425707375177,0.08800690250215704,0.11775426497262365,,0.9290413533834587,0.8786710239651416,0.9661737509982353,3.100645274828706,7.698880449151692,0.8553672185736749,0.029308158051905925,-0.16083699240648786,0.6042154487333166,0.08117676134947965,-0.16486397471804454,0.999687430273244,no,,45-49,,,,,,,,,
7,Hispanic:no  age_group:60-64,4929,0.5891791812384283,0.4223492501972907,0.1323529411764706,0.010728554365070472,-35.11809528940687,1.5660184921282942,1997,0.0004698912139037961,0.8676470588235294,True,2864,0.02672436031565836,0.5824508013795902,68,-16.95633311954693,0.937651685936562,0.30668089644945573,0.12400350347621114,-28.91267228965233,0.3967683423619442,0.02085023879651928,59,0.23643555430952226,-0.06612236604503113,0.5880903490759753,0.7635644456904779,0.5001009971293685,-0.9611231103126673,0.7635644456904779,0.22463954157081828,0.7203675155355509,2873,-0.6970665616742497,-14.955991199617255,0.08770439719020408,-23.47493743645715,-0.9681708879531827,0.5930208967336174,0.06234831406343806,-21.766360445311157,0.10806596613866766,0.5751957462488925,0.7306764648673376,4861,-0.9731097148137321,0.9940616881807766,0.8676470588235294,0.055397476213509066,0.7284131200309789,1.9374581537478877,0.6910047014133882,0.6030554069281209,0.05555555555555555,0.5891791812384283,0.6872565748618328,0.0004044723109212903,0.13717830882352944,0.013795901805640089,1.897190066010794,0.5719066323732276,0.16912567071241913,0.40761976380131576,0.9968673860076575,2056,0.01745722419599247,2.111984152699638,0.6010696934214833,0.2266012915988787,0.028696498054474707,0.3331435673998607,0.0004344752422751775,0.4248042537511075,2.297566538304951,0.8676470588235294,0.12773001185151658,0.7452127345426809,0.7695696652001248,0.937651685936562,0.7482930542362035,0.07301092089728453,0.1428092071878293,0.41082081876157167,0.5741344183640965,0.27354077866381,9.401658042619486,9,2.111984152699638,0.030890523001241607,0.41712314871170625,5.476337762555661,0.13717830882352944,0.3969445930718792,17.893127209882067,0.7406258081199897,0.6040525461554067,0.937651685936562,3.7972106771773912,2.3511941797419995,0.7284131200309789,0.02191529879680656,0.1507641300868266,0.7635644456904779,0.036861760336189216,-0.02782082408010616,0.9985665997718325,no,,60-64,,,,,,,,,
8,Hispanic:no  age_group:50-54,6144,0.7509427775045089,0.38247555226841057,0.2222222222222222,0.005347206808282451,-44.42078376390234,0.8576170729472141,1519,0.0005815329600352885,0.7777777777777778,True,4580,0.019145121684184186,0.7439453125,45,-24.931737443296715,0.8879540611228673,0.2672983786766414,0.12072822340393671,-33.228474613324586,0.34890031882871153,0.012292048515360813,35,0.3708875525994878,-0.246909281646056,0.7497135374038304,0.6291124474005121,0.7563994759002721,-0.9670300876464922,0.6291124474005121,0.29592430858806407,1.3177379758916665,4590,-1.2146820921049182,-18.351067505926082,0.08397449604646524,-24.633870451095355,-0.9752988282400047,0.7511393229166666,0.1120459388771327,-36.157248684621564,0.1037122171196045,0.7398888052954897,0.8519490788114031,6099,-0.9806011455079606,0.9959970480620505,0.7777777777777778,-0.14700702661469756,0.7643602776411433,2.6903370146977736,0.7117410496951604,0.761756256758901,0.043777360850531584,0.7509427775045089,0.7027004762670146,0.00043854233328355797,0.021505376344086002,0.00732421875,2.588241641072206,1.0737945182916722,-0.023675601872495323,0.3613801099240317,0.9978213507625272,1554,0.009788235995079235,3.122887864823349,0.758959529076728,0.09498442131629217,0.02252252252252252,0.45247229467084155,0.0005120327700972862,0.2601111947045101,3.5997331661984604,0.7777777777777778,-0.058709283624462705,0.8244635860049587,0.8260200790152721,0.8879540611228673,0.8616326246732686,0.2036837030529698,-0.009931262147962194,0.24905722249549106,0.7377729691905061,0.18659915276594868,10.55299539170507,10,3.122887864823349,0.027191244738359082,0.2529296875,7.286904787714545,0.021505376344086002,0.23824374324109893,31.185717152639555,0.856955748900739,0.7594889322916666,0.8879540611228673,2.8925724362530487,3.5836286828595507,0.7643602776411434,0.015736714464569895,-0.04199178209108834,0.6291124474005121,0.03118520148085906,-0.24042271138391746,0.9989547740754132,no,,50-54,,,,,,,,,
9,Hispanic:no  age_group:70-74,3461,0.7440302853814793,0.43069074309396943,0.3333333333333333,0.005147161439752773,-57.50882757068314,0.8916397740865937,879,0.0009481639157145829,0.6666666666666666,True,2555,0.015978330928772495,0.7297890783010691,27,-23.98401604866368,0.834811820312585,0.12374009135844309,0.10611215204178705,-32.147479453827735,0.3588712573546446,0.00937629800287944,18,0.5396072860924305,-0.44927984938283566,0.742085390647691,0.4603927139075695,0.30579960632774944,-0.9648465677987071,0.4603927139075695,0.44801043705153293,1.1081033268352276,2564,-1.1767475695591658,-16.762411701749674,0.04305053793017138,-24.351923265188148,-0.9764229699622767,0.7434267552730425,0.16518817968741492,-34.790538101683126,0.08246093889318305,0.7290846640083332,0.8450576107532799,3434,-0.9866277100651244,0.9933471629636295,0.6666666666666666,-0.2109531825185626,0.7053484760240729,1.92995169844482,0.6311093999811906,0.7585593093046444,0.03896103896103896,0.7440302853814793,0.6144555578894466,0.0005599092406154119,-0.101010101010101,0.007801213522103438,1.6142408130134978,0.8140259059934538,0.0015380283935983764,0.3825791037856282,0.9964898595943837,897,0.01133020067595173,2.6044747819491842,0.7490383906478816,0.12021689505095523,0.020066889632107024,0.6292236733325167,0.0007584376185058779,0.2709153359916668,3.2467464126377035,0.6666666666666666,-0.05785387073454646,0.7776805320047757,0.7962413941586992,0.834811820312585,0.8594383116839421,0.242842240121705,-0.06559190481537344,0.2559697146185207,0.7306167806431034,0.21952346804913395,5.813424345847554,9,2.6044747819491842,0.022248843775793323,0.25917364923432534,3.405193367164333,-0.101010101010101,0.24144069069535554,16.48228628463271,0.8519506502167389,0.7548035249927766,0.834811820312585,2.9449928418217874,3.141452912895927,0.705348476024073,0.011935209484000625,-0.031497153893345675,0.4603927139075695,0.03152948673749683,-0.4406473261550429,0.9983937226758278,no,,70-74,,,,,,,,,
